cancer_type,gene_id_base,gene_name,avg_log2_tpm,rank_gen
HNSC,ENSG00000205420,KRT6A,13.161673246279648,8
HNSC,ENSG00000034510,TMSB10,12.964890059400114,9
HNSC,ENSG00000198899,MT-ATP6,12.635888775824434,10
KIRC,ENSG00000198804,MT-CO1,14.99063465582633,1
KIRC,ENSG00000198938,MT-CO3,14.990615289440672,2
KIRC,ENSG00000198886,MT-ND4,14.843883933085676,3
KIRC,ENSG00000198712,MT-CO2,14.605465863022689,4
KIRC,ENSG00000198899,MT-ATP6,14.148369376845961,5
KIRC,ENSG00000198763,MT-ND2,13.982904352399746,6
KIRC,ENSG00000198888,MT-ND1,13.948968515515379,7
KIRC,ENSG00000198727,MT-CYB,13.921221898786929,8
KIRC,ENSG00000198840,MT-ND3,13.836878021610383,9
KIRC,ENSG00000087086,FTL,13.287266253154785,10
KIRP,ENSG00000198938,MT-CO3,15.392064667965832,1
KIRP,ENSG00000198804,MT-CO1,15.217912046627282,2
KIRP,ENSG00000198712,MT-CO2,15.151012710981279,3
